repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
anomalyco/opencode,197080,2025-04-30T20:08:00Z,1.29,7104,860,2026-08-13T22:29:48Z,2026-08-13T22:47:39Z,0.02,0.0,TypeScript,23579,19655,0.8336
tensorflow/tensorflow,197006,2015-11-07T01:19:20Z,10.77,48868,222,2026-08-13T22:53:04Z,2026-08-13T22:40:09Z,0.0,0.01,C++,41678,40897,0.9813
trekhleb/javascript-algorithms,196464,2018-03-24T07:47:04Z,8.39,309,0,2026-07-26T02:43:08Z,2026-08-13T21:00:36Z,18.84,0.08,JavaScript,373,238,0.6381
ultraworkers/claw-code,195075,2026-03-31T08:58:08Z,0.37,141,0,2026-08-06T11:18:35Z,2026-08-13T22:41:35Z,7.48,0.01,Rust,2211,2195,0.9928
DigitalPlatDev/FreeDomain,192622,2024-05-30T13:23:00Z,2.2,0,0,2026-08-12T10:36:46Z,2026-08-13T22:40:09Z,1.51,0.01,Markdown,0,0,0.0
ohmyzsh/ohmyzsh,189161,2009-08-28T18:15:37Z,16.96,3650,0,2026-08-11T11:03:43Z,2026-08-13T22:15:50Z,2.49,0.03,Shell,5077,4926,0.9703
microsoft/vscode,188668,2015-09-03T20:23:38Z,10.94,51874,233,2026-08-13T22:53:24Z,2026-08-13T22:53:18Z,0.0,0.0,TypeScript,250724,233330,0.9306
massgravel/Microsoft-Activation-Scripts,186937,2020-01-12T23:03:34Z,6.58,7,31,2026-07-04T16:54:38Z,2026-08-13T22:23:15Z,40.25,0.02,Batchfile,1069,1065,0.9963
Significant-Gravitas/AutoGPT,186591,2023-03-16T09:21:07Z,3.41,4750,117,2026-08-13T22:51:34Z,2026-08-13T20:43:52Z,0.0,0.09,Python,3939,3639,0.9238
jackfrued/Python-100-Days,185177,2018-03-01T16:05:52Z,8.45,13,0,2026-07-29T15:18:29Z,2026-08-13T17:55:39Z,15.32,0.21,Jupyter Notebook,729,192,0.2634
CyC2018/CS-Notes,185040,2018-02-13T14:56:24Z,8.5,374,0,2024-08-21T09:40:10Z,2026-08-13T21:00:37Z,722.55,0.08,N/A,579,449,0.7755
getify/You-Dont-Know-JS,184656,2013-11-16T02:37:24Z,12.74,370,0,2026-02-15T04:36:44Z,2026-08-13T22:22:07Z,179.76,0.02,N/A,947,947,1.0
yt-dlp/yt-dlp,184298,2020-10-26T04:22:55Z,5.8,3387,135,2026-08-04T22:58:34Z,2026-08-13T22:52:55Z,9.0,0.0,Python,11898,9922,0.8339
avelino/awesome-go,180983,2014-07-06T13:42:15Z,12.1,3864,0,2026-08-13T13:50:42Z,2026-08-13T22:38:50Z,0.38,0.01,Go,757,736,0.9723
ollama/ollama,178476,2023-06-26T19:39:32Z,3.13,3517,241,2026-08-13T22:38:02Z,2026-08-13T22:37:01Z,0.01,0.01,Go,10950,8572,0.7828
flutter/flutter,178388,2015-03-06T22:54:58Z,11.44,49541,7,2026-08-13T22:04:18Z,2026-08-13T21:39:46Z,0.03,0.05,Dart,115142,102586,0.891
github/gitignore,175280,2010-11-08T20:17:14Z,15.76,1779,0,2026-07-23T16:06:45Z,2026-08-13T22:06:02Z,21.28,0.03,N/A,0,0,0.0
twbs/bootstrap,174577,2011-07-29T21:19:00Z,15.04,9481,94,2026-08-13T03:36:08Z,2026-08-13T22:43:29Z,0.8,0.01,MDX,22940,22838,0.9956
microsoft/markitdown,173574,2024-11-13T19:56:40Z,1.75,183,20,2026-07-29T18:18:09Z,2026-08-13T22:53:03Z,15.19,0.0,Python,564,181,0.3209
521xueweihan/HelloGitHub,170743,2016-05-04T06:24:11Z,10.28,17,68,2026-08-02T07:58:25Z,2026-08-13T22:14:14Z,11.62,0.03,Python,3296,2708,0.8216
anthropics/skills,168986,2025-09-22T15:53:31Z,0.89,47,0,2026-08-13T18:09:56Z,2026-08-13T22:51:50Z,0.2,0.0,Python,362,48,0.1326
f/prompts.chat,167092,2022-12-05T13:54:13Z,3.69,237,0,2026-08-13T03:49:09Z,2026-08-13T22:33:09Z,0.8,0.01,HTML,172,152,0.8837
firecrawl/firecrawl,166951,2024-04-15T21:02:29Z,2.33,1924,35,2026-08-13T22:37:45Z,2026-08-13T22:53:20Z,0.01,0.0,TypeScript,949,885,0.9326
AUTOMATIC1111/stable-diffusion-webui,164512,2022-08-22T14:05:26Z,3.98,1875,27,2026-03-02T07:00:53Z,2026-08-13T22:37:07Z,164.66,0.01,Python,7913,5491,0.6939
huggingface/transformers,164077,2018-10-29T13:56:00Z,7.79,20150,269,2026-08-13T22:47:44Z,2026-08-13T22:53:01Z,0.0,0.0,Python,19304,18409,0.9536
jlevy/the-art-of-command-line,162102,2015-05-20T15:11:03Z,11.23,317,0,2024-06-25T18:13:44Z,2026-08-13T22:22:42Z,779.19,0.02,N/A,264,138,0.5227
Snailclimb/JavaGuide,157769,2018-05-07T13:27:00Z,8.27,1268,0,2026-08-08T06:58:19Z,2026-08-13T20:57:39Z,5.66,0.08,JavaScript,1155,1098,0.9506
langflow-ai/langflow,153196,2023-02-08T22:28:03Z,3.51,7240,303,2026-08-13T22:52:08Z,2026-08-13T22:37:47Z,0.0,0.01,Python,3416,3203,0.9376
langgenius/dify,152366,2023-04-12T07:40:24Z,3.34,13277,168,2026-08-13T20:37:44Z,2026-08-13T22:36:07Z,0.09,0.01,TypeScript,18611,18323,0.9845
open-webui/open-webui,148712,2023-10-06T22:08:27Z,2.85,4027,167,2026-08-13T22:45:02Z,2026-08-13T22:49:05Z,0.01,0.0,Python,9338,9141,0.9789
airbnb/javascript,148149,2012-11-01T23:13:50Z,13.78,822,0,2026-04-16T19:24:09Z,2026-08-13T19:56:39Z,119.15,0.12,JavaScript,1416,1315,0.9287
Genymobile/scrcpy,147576,2017-11-21T18:00:27Z,8.73,153,52,2026-07-12T18:16:07Z,2026-08-13T22:52:59Z,32.19,0.0,C,6144,3356,0.5462
msitarzewski/agency-agents,145163,2025-10-13T12:12:29Z,0.83,222,0,2026-08-06T13:29:47Z,2026-08-13T22:49:40Z,7.39,0.0,Shell,143,87,0.6084
langchain-ai/langchain,144183,2022-10-17T02:58:36Z,3.82,17232,1326,2026-08-13T21:37:53Z,2026-08-13T22:31:57Z,0.05,0.02,Python,9964,9633,0.9668
x1xhlol/system-prompts-and-models-of-ai-tools,142809,2025-03-05T16:38:29Z,1.44,52,0,2026-08-11T13:01:09Z,2026-08-13T21:35:04Z,2.41,0.05,N/A,211,120,0.5687
yangshun/tech-interview-handbook,141848,2016-07-05T05:00:48Z,10.11,494,0,2026-08-07T12:06:42Z,2026-08-13T22:40:34Z,6.45,0.01,TypeScript,126,92,0.7302
vercel/next.js,141770,2016-10-05T23:32:51Z,9.85,28161,3800,2026-08-13T22:50:03Z,2026-08-13T22:18:46Z,0.0,0.02,JavaScript,25158,23039,0.9158
anthropics/claude-code,141356,2025-02-22T17:41:21Z,1.47,161,187,2026-08-13T08:38:50Z,2026-08-13T22:43:55Z,0.59,0.01,Python,83814,68535,0.8177
ytdl-org/youtube-dl,140958,2010-10-31T14:35:07Z,15.78,1646,341,2026-02-19T16:45:25Z,2026-08-13T22:49:17Z,175.26,0.0,Python,26831,23204,0.8648
microsoft/PowerToys,137738,2019-05-01T17:44:02Z,7.29,6982,138,2026-08-13T21:48:36Z,2026-08-13T22:33:36Z,0.05,0.01,C,41058,33723,0.8214
clash-verge-rev/clash-verge-rev,137612,2023-11-21T18:24:03Z,2.73,1006,67,2026-08-13T17:15:29Z,2026-08-13T22:31:20Z,0.24,0.02,TypeScript,5786,5390,0.9316
iptv-org/iptv,135766,2018-11-14T22:00:57Z,7.75,6984,0,2026-08-13T14:33:11Z,2026-08-13T21:44:12Z,0.35,0.05,TypeScript,34239,34187,0.9985
golang/go,135747,2014-08-19T04:33:40Z,11.98,1,0,2026-08-13T22:36:15Z,2026-08-13T22:36:23Z,0.01,0.01,Go,72822,63108,0.8666
labuladong/fucking-algorithm,135333,2020-02-19T09:01:23Z,6.48,244,0,2026-02-28T10:07:31Z,2026-08-13T19:51:20Z,166.53,0.13,Markdown,980,975,0.9949
Shubhamsaboo/awesome-llm-apps,132500,2024-04-29T05:30:25Z,2.29,240,0,2026-08-13T18:45:25Z,2026-08-13T22:46:31Z,0.17,0.01,Python,172,167,0.9709
ripienaar/free-for-dev,131694,2015-03-18T21:06:26Z,11.41,3075,0,2026-08-13T13:29:44Z,2026-08-13T22:36:39Z,0.39,0.01,HTML,0,0,0.0
excalidraw/excalidraw,129541,2020-01-02T01:04:43Z,6.61,3959,15,2026-08-13T15:55:10Z,2026-08-13T22:01:58Z,0.29,0.04,TypeScript,4908,2648,0.5395
krahets/hello-algo,129406,2022-11-04T11:08:34Z,3.77,994,10,2026-07-24T07:32:34Z,2026-08-13T22:37:38Z,20.64,0.01,Java,291,278,0.9553
Chalarangelo/30-seconds-of-code,128710,2017-11-29T17:35:03Z,8.7,855,12,2026-08-08T05:23:45Z,2026-08-13T22:25:32Z,5.73,0.02,JavaScript,300,300,1.0
garrytan/gstack,127876,2026-03-11T21:22:45Z,0.42,298,0,2026-08-13T17:43:31Z,2026-08-13T22:44:38Z,0.22,0.01,TypeScript,748,337,0.4505
github/spec-kit,127392,2025-08-21T22:54:31Z,0.97,1369,211,2026-08-13T21:56:12Z,2026-08-13T22:52:17Z,0.04,0.0,Python,1490,1337,0.8973
Comfy-Org/ComfyUI,127343,2023-01-17T03:15:56Z,3.57,3136,153,2026-08-13T22:17:30Z,2026-08-13T22:53:27Z,0.03,0.0,Python,9101,5026,0.5522
farion1231/cc-switch,127010,2025-08-04T14:16:16Z,1.02,440,50,2026-08-13T18:40:21Z,2026-08-13T21:58:23Z,0.18,0.04,Rust,4589,3155,0.6875
react/react-native,126340,2015-01-09T18:10:16Z,11.59,999,471,2026-08-13T19:56:45Z,2026-08-13T22:47:06Z,0.12,0.0,C++,27776,27094,0.9754
kubernetes/kubernetes,124489,2014-06-06T22:56:04Z,12.18,65646,810,2026-08-13T20:01:37Z,2026-08-13T22:20:34Z,0.12,0.02,Go,49520,47699,0.9632
ggml-org/llama.cpp,123822,2023-03-10T18:58:00Z,3.43,9668,6855,2026-08-13T22:47:13Z,2026-08-13T22:50:53Z,0.0,0.0,C++,9411,8703,0.9248
electron/electron,122492,2013-04-12T01:47:36Z,13.34,26499,1980,2026-08-13T21:10:54Z,2026-08-13T21:50:46Z,0.07,0.04,C++,21816,21132,0.9686
shadcn-ui/ui,121269,2023-01-04T12:43:27Z,3.61,1434,117,2026-08-13T18:44:30Z,2026-08-13T22:25:57Z,0.17,0.02,TypeScript,4230,3169,0.7492
rustdesk/rustdesk,120352,2020-09-28T15:36:08Z,5.87,4198,39,2026-08-13T12:22:41Z,2026-08-13T22:48:31Z,0.44,0.0,Rust,4299,4220,0.9816
nodejs/node,118921,2014-11-26T19:57:11Z,11.71,13158,512,2026-08-13T21:54:40Z,2026-08-13T22:52:00Z,0.04,0.0,JavaScript,20754,20051,0.9661
justjavac/free-programming-books-zh_CN,118317,2013-11-04T01:59:19Z,12.77,300,3,2026-07-29T00:39:06Z,2026-08-13T17:46:56Z,15.93,0.21,N/A,0,0,0.0
Hack-with-Github/Awesome-Hacking,118231,2016-03-30T15:47:10Z,10.37,41,0,2026-07-26T03:29:02Z,2026-08-13T22:41:42Z,18.81,0.01,N/A,0,0,0.0
microsoft/generative-ai-for-beginners,117691,2023-06-19T16:28:59Z,3.15,601,0,2026-08-13T03:43:40Z,2026-08-13T22:13:28Z,0.8,0.03,Jupyter Notebook,244,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,116444,2025-11-30T11:36:31Z,0.7,138,41,2026-08-13T17:10:11Z,2026-08-13T22:48:15Z,0.24,0.0,Python,172,134,0.7791
godotengine/godot,115673,2014-01-04T16:05:36Z,12.61,43320,71,2026-08-13T17:50:14Z,2026-08-13T22:49:19Z,0.21,0.0,C++,63299,49922,0.7887
rust-lang/rust,115495,2010-06-16T20:39:03Z,16.16,73425,153,2026-08-13T22:16:55Z,2026-08-13T22:34:28Z,0.03,0.01,Rust,63498,52076,0.8201
mrdoob/three.js,114500,2010-03-23T18:58:01Z,16.39,15961,177,2026-08-13T22:51:51Z,2026-08-13T21:39:50Z,0.0,0.05,JavaScript,13727,13481,0.9821
2dust/v2rayN,113762,2019-07-30T03:47:24Z,7.04,593,332,2026-08-10T07:09:04Z,2026-08-13T19:56:13Z,3.66,0.12,C#,7120,7093,0.9962
d3/d3,113448,2010-09-27T17:22:42Z,15.88,495,194,2026-05-28T14:43:01Z,2026-08-13T22:49:14Z,77.34,0.0,Shell,2247,2242,0.9978
jaywcjlove/awesome-mac,110930,2016-07-17T15:33:47Z,10.07,1239,15,2026-08-11T17:44:47Z,2026-08-13T21:17:45Z,2.21,0.07,Swift,559,403,0.7209
immich-app/immich,110430,2022-02-03T15:56:27Z,4.52,9987,305,2026-08-13T21:51:31Z,2026-08-13T22:41:21Z,0.04,0.01,TypeScript,9117,8643,0.948
tauri-apps/tauri,110189,2019-07-13T09:09:37Z,7.09,5662,1636,2026-08-13T22:10:14Z,2026-08-13T21:05:44Z,0.03,0.08,Rust,6413,5130,0.7999
microsoft/TypeScript,110171,2014-06-17T15:28:39Z,12.16,14893,217,2026-08-13T01:06:52Z,2026-08-13T22:13:44Z,0.91,0.03,TypeScript,43246,38192,0.8831
axios/axios,109233,2014-08-18T22:30:27Z,11.99,1482,123,2026-08-13T18:14:46Z,2026-08-13T20:43:40Z,0.19,0.09,JavaScript,5054,5008,0.9909
browser-use/browser-use,109116,2024-10-31T16:00:56Z,1.78,1891,134,2026-08-13T19:28:15Z,2026-08-13T22:21:12Z,0.14,0.02,Python,1601,1504,0.9394
