repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
bmad-code-org/BMAD-METHOD,51961,JavaScript,39,1.34,29.1,False
google/guava,51884,Java,58,12.21,4.75,False
dkhamsing/open-source-ios-apps,51695,N/A,37,11.55,3.2,False
run-llama/llama_index,51679,Python,495,3.79,130.61,False
Avik-Jain/100-Days-Of-ML-Code,51648,N/A,0,8.11,0.0,True
expo/expo,51634,TypeScript,8,10.0,0.8,False
jekyll/jekyll,51630,Ruby,112,17.82,6.29,False
anthropics/claude-cookbooks,51570,Jupyter Notebook,0,3.0,0.0,True
dbeaver/dbeaver,51446,Java,253,10.82,23.38,False
charlax/professional-programming,51408,Python,0,10.77,0.0,True
DefinitelyTyped/DefinitelyTyped,51371,TypeScript,1,13.86,0.07,False
poteto/hiring-without-whiteboards,51369,JavaScript,0,9.42,0.0,True
ethereum/go-ethereum,51285,Go,232,12.64,18.35,False
justjavac/wechat-miniapp-radar,51184,TypeScript,0,9.89,0.0,True
Semantic-Org/Semantic-UI,51026,JavaScript,154,13.35,11.54,False
cypress-io/cypress,50974,TypeScript,401,11.45,35.02,False
CherryHQ/cherry-studio,50546,TypeScript,275,2.23,123.32,False
jamiepine/voicebox,50532,TypeScript,25,0.56,44.64,False
nlohmann/json,50381,C++,45,13.12,3.43,False
bannedbook/fanqiang,50334,Kotlin,3,11.59,0.26,False
mastodon/mastodon,50212,Ruby,360,10.48,34.35,False
TanStack/query,50145,TypeScript,2267,6.93,327.13,False
skylot/jadx,50086,Java,35,13.41,2.61,False
jgthms/bulma,50056,CSS,22,10.56,2.08,False
AlistGo/alist,50047,Go,149,5.64,26.42,False
serhii-londar/open-source-mac-os-apps,50039,N/A,0,8.78,0.0,True
chenglou/pretext,49904,TypeScript,0,0.44,0.0,True
tldraw/tldraw,49799,TypeScript,133,5.27,25.24,False
huginn/huginn,49798,Ruby,1,13.43,0.07,False
NARKOZ/hacker-scripts,49797,JavaScript,0,10.73,0.0,True
jakevdp/PythonDataScienceHandbook,49619,Jupyter Notebook,0,10.02,0.0,True
pandas-dev/pandas,49501,Python,122,15.98,7.63,False
kelseyhightower/kubernetes-the-hard-way,49472,N/A,0,10.11,0.0,True
hashicorp/terraform,49469,Go,435,12.42,35.02,False
roboflow/supervision,49442,Python,40,3.72,10.75,False
Lordog/dive-into-llms,49428,Jupyter Notebook,1,2.35,0.43,False
ClickHouse/ClickHouse,49276,C++,822,10.2,80.59,False
ChromeDevTools/chrome-devtools-mcp,49256,TypeScript,58,0.93,62.37,False
astral-sh/ruff,49224,Rust,423,4.02,105.22,False
x64dbg/x64dbg,49171,C++,6,11.35,0.53,False
Homebrew/brew,49170,Ruby,508,10.44,48.66,False
GokuMohandas/Made-With-ML,49101,Jupyter Notebook,1,7.78,0.13,False
JuliaLang/julia,49010,Julia,203,15.32,13.25,False
apple/container,48994,Swift,20,1.21,16.53,False
diegosouzapw/OmniRoute,48991,TypeScript,278,0.5,556.0,False
bigskysoftware/htmx,48969,JavaScript,32,6.34,5.05,False
chen08209/FlClash,48864,Dart,105,3.0,35.0,False
metabase/metabase,48783,Clojure,816,11.53,70.77,False
akullpp/awesome-java,48751,N/A,0,12.1,0.0,True
algorithm-visualizer/algorithm-visualizer,48667,JavaScript,0,10.25,0.0,True
iamkun/dayjs,48666,JavaScript,128,8.35,15.33,False
tmux/tmux,48656,C,43,11.2,3.84,False
DovAmir/awesome-design-patterns,48584,N/A,0,8.2,0.0,True
mudler/LocalAI,48506,Go,135,3.41,39.59,False
nilbuild/design-patterns-for-humans,48448,N/A,0,9.49,0.0,True
type-challenges/type-challenges,48429,TypeScript,0,6.06,0.0,True
KRTirtho/spotube,48405,Dart,44,5.5,8.0,False
upscayl/upscayl,48320,TypeScript,29,4.04,7.18,False
calesthio/OpenMontage,48313,Python,0,0.38,0.0,True
Aider-AI/aider,48267,Python,93,3.27,28.44,False
brillout/awesome-react-components,48204,N/A,0,10.14,0.0,True
ReactiveX/RxJava,48202,Java,267,13.6,19.63,False
slidevjs/slidev,48101,TypeScript,430,5.31,80.98,False
pixijs/pixijs,48014,TypeScript,308,13.56,22.71,False
moeru-ai/airi,47957,TypeScript,81,1.7,47.65,False
moment/moment,47918,JavaScript,1,15.46,0.06,False
karan/Projects,47872,N/A,0,13.12,0.0,True
gogs/gogs,47724,Go,98,12.51,7.83,False
minimaxir/big-list-of-naughty-strings,47706,Python,0,11.02,0.0,True
calcom/cal.diy,47684,TypeScript,611,5.4,113.15,False
discourse/discourse,47660,Ruby,1,13.59,0.07,False
bevyengine/bevy,47654,Rust,58,6.57,8.83,False
HKUDS/CLI-Anything,47591,Python,3,0.44,6.82,False
lukasz-madon/awesome-remote-job,47586,N/A,0,11.62,0.0,True
prisma/prisma,47576,TypeScript,251,7.16,35.06,False
oobabooga/textgen,47552,Python,113,3.65,30.96,False
microsoft/qlib,47527,Python,23,6.0,3.83,False
GitHubDaily/GitHubDaily,47494,N/A,0,7.63,0.0,True
acmesh-official/acme.sh,47479,Shell,48,10.64,4.51,False
router-for-me/CLIProxyAPI,47422,Go,814,1.12,726.79,False
jeecgboot/JeecgBoot,47407,Java,64,7.72,8.29,False
dypsilon/frontend-dev-bookmarks,47391,N/A,1,13.15,0.08,False
coreybutler/nvm-windows,47367,Go,23,11.9,1.93,False
slab/quill,47299,TypeScript,95,14.04,6.77,False
hugohe3/ppt-master,47232,Python,22,0.68,32.35,False
typescript-cheatsheets/react,47101,TypeScript,0,8.21,0.0,True
HKUDS/nanobot,47063,Python,19,0.54,35.19,False
lysine-dev/okhttp,47049,Kotlin,0,14.06,0.0,True
gedoor/legado,46995,Kotlin,104,7.24,14.36,False
elder-plinius/CL4R1T4S,46965,N/A,0,1.45,0.0,True
v2ray/v2ray-core,46933,Go,247,10.95,22.56,False
serverless/serverless,46919,JavaScript,494,11.32,43.64,False
rohitg00/ai-engineering-from-scratch,46899,Python,2,0.41,4.88,False
KeygraphHQ/shannon,46860,TypeScript,16,0.88,18.18,False
exo-explore/exo,46855,Python,16,2.14,7.48,False
Asabeneh/30-Days-Of-JavaScript,46701,JavaScript,0,6.65,0.0,True
hiroi-sora/Umi-OCR,46632,Python,31,4.39,7.06,False
microsoft/monaco-editor,46547,JavaScript,189,10.19,18.55,False
zhayujie/CowAgent,46526,Python,80,4.02,19.9,False
apache/airflow,46506,Python,126,11.34,11.11,False
SimplifyJobs/Summer2027-Internships,46448,Python,0,6.23,0.0,True
stablyai/orca,46441,TypeScript,930,0.42,2214.29,False
LeCoupa/awesome-cheatsheets,46363,JavaScript,0,8.77,0.0,True
usebruno/bruno,46363,JavaScript,171,3.88,44.07,False
kepano/obsidian-skills,46357,N/A,0,0.62,0.0,True
9001/copyparty,46233,Python,345,7.23,47.72,False
multica-ai/multica,46180,Go,138,0.59,233.9,False
docker/awesome-compose,46107,HTML,0,6.51,0.0,True
ziishaned/learn-regex,46082,N/A,0,9.07,0.0,True
RocketChat/Rocket.Chat,45990,TypeScript,1260,11.24,112.1,False
iina/iina,45974,Swift,51,9.66,5.28,False
coqui-ai/TTS,45905,Python,98,6.24,15.71,False
jgm/pandoc,45887,Haskell,158,16.41,9.63,False
cli/cli,45841,Go,201,6.87,29.26,False
helix-editor/helix,45837,Rust,30,6.21,4.83,False
siyuan-note/siyuan,45836,TypeScript,942,5.96,158.05,False
android/architecture-samples,45789,Kotlin,0,10.53,0.0,True
DIYgod/RSSHub,45759,TypeScript,226,8.37,27.0,False
zhongyang219/TrafficMonitor,45741,C++,27,9.05,2.98,False
google/zx,45665,JavaScript,100,5.28,18.94,False
milvus-io/milvus,45652,Go,170,6.92,24.57,False
Alishahryar1/free-claude-code,45602,Python,0,0.54,0.0,True
DavidHDev/react-bits,45592,JavaScript,0,2.03,0.0,True
karanpratapsingh/system-design,45579,N/A,0,4.0,0.0,True
streamlit/streamlit,45556,Python,125,6.98,17.91,False
ColorlibHQ/AdminLTE,45556,Astro,87,12.64,6.88,False
Leaflet/Leaflet,45482,JavaScript,34,15.9,2.14,False
jestjs/jest,45469,TypeScript,217,12.68,17.11,False
abhigyanpatwari/GitNexus,45439,TypeScript,747,1.03,725.24,False
grpc/grpc,45283,C++,375,11.69,32.08,False
QuantumNous/new-api,45271,Go,511,2.76,185.14,False
isocpp/CppCoreGuidelines,45244,CSS,4,10.99,0.36,False
GitSquared/edex-ui,45047,JavaScript,29,9.55,3.04,False
pyenv/pyenv,45016,Shell,165,13.96,11.82,False
sickn33/agentic-awesome-skills,45014,Python,187,0.58,322.41,False
fastapi/full-stack-fastapi-template,44893,TypeScript,15,7.48,2.01,False
react-hook-form/react-hook-form,44821,TypeScript,618,7.45,82.95,False
meteor/meteor,44812,JavaScript,0,14.57,0.0,True
MHSanaei/3x-ui,44750,Go,124,3.51,35.33,False
sudheerj/reactjs-interview-questions,44731,JavaScript,0,8.21,0.0,True
mitmproxy/mitmproxy,44711,Python,81,16.5,4.91,False
vercel/hyper,44690,TypeScript,88,10.12,8.7,False
DataTalksClub/data-engineering-zoomcamp,44643,Jupyter Notebook,0,4.82,0.0,True
files-community/Files,44637,C#,139,7.61,18.27,False
getsentry/sentry,44557,Python,176,15.96,11.03,False
vnpy/vnpy,44540,Python,67,11.46,5.85,False
coreyhaines31/marketingskills,44481,JavaScript,39,0.58,67.24,False
logseq/logseq,44473,Clojure,153,6.23,24.56,False
spf13/cobra,44438,Go,27,12.95,2.08,False
charmbracelet/bubbletea,44390,Go,79,6.6,11.97,False
NaiboWang/EasySpider,44362,JavaScript,10,6.08,1.64,False
paperless-ngx/paperless-ngx,44313,Python,156,4.5,34.67,False
AykutSarac/jsoncrack.com,44290,TypeScript,23,4.54,5.07,False
payloadcms/payload,44199,TypeScript,574,5.61,102.32,False
sharkdp/fd,44102,Rust,44,9.27,4.75,False
parcel-bundler/parcel,44023,JavaScript,52,9.02,5.76,False
janhq/jan,44021,TypeScript,104,3.0,34.67,False
streamich/react-use,44016,TypeScript,257,7.8,32.95,False
yangshun/front-end-interview-handbook,43987,JavaScript,0,8.59,0.0,True
Kong/kong,43987,Lua,147,11.74,12.52,False
babel/babel,43984,TypeScript,468,11.88,39.39,False
zen-browser/desktop,43937,JavaScript,185,2.38,77.73,False
lysine-dev/retrofit,43932,Java,4,15.94,0.25,False
astaxie/build-web-application-with-golang,43902,Go,0,14.04,0.0,True
apache/spark,43823,Scala,0,12.47,0.0,True
DataExpert-io/data-engineer-handbook,43741,Jupyter Notebook,0,2.74,0.0,True
aymericdamien/TensorFlow-Examples,43734,Jupyter Notebook,0,10.76,0.0,True
ccxt/ccxt,43643,Python,247,9.26,26.67,False
ray-project/ray,43529,Python,128,9.8,13.06,False
juspay/hyperswitch,43490,Rust,158,3.83,41.25,False
colinhacks/zod,43471,TypeScript,205,6.44,31.83,False
danielmiessler/Fabric,43456,Go,423,2.61,162.07,False
gradio-app/gradio,43370,Python,5084,7.66,663.71,False
Light-City/CPlusPlusThings,43363,C++,0,7.09,0.0,True
ziglang/zig,43331,Zig,21,11.03,1.9,False
alex/what-happens-when,43288,N/A,0,12.77,0.0,True
Unitech/pm2,43271,JavaScript,138,13.24,10.42,False
HeyPuter/puter,43072,TypeScript,22,2.45,8.98,False
FuelLabs/fuels-rs,43068,Rust,121,4.79,25.26,False
zbezj/HEU_KMS_Activator,43048,N/A,54,7.15,7.55,False
FuelLabs/fuels-ts,43031,TypeScript,156,4.95,31.52,False
mifi/lossless-cut,42963,TypeScript,106,9.79,10.83,False
deepspeedai/DeepSpeed,42944,Python,115,6.56,17.53,False
faif/python-patterns,42924,Python,0,14.19,0.0,True
juanfont/headscale,42902,Go,140,6.15,22.76,False
Imbad0202/academic-research-skills,42690,Python,39,0.47,82.98,False
curl/curl,42611,C,97,16.41,5.91,False
k88hudson/git-flight-rules,42596,N/A,0,12.07,0.0,True
mingrammer/diagrams,42514,Python,46,6.54,7.03,False
apachecn/ailearning,42460,Python,2,9.47,0.21,False
Alamofire/Alamofire,42420,Swift,106,12.04,8.8,False
imputnet/cobalt,42108,Svelte,0,4.1,0.0,True
danny-avila/LibreChat,42095,TypeScript,94,3.51,26.78,False
saadeghi/daisyui,42093,JavaScript,226,5.71,39.58,False
666ghj/BettaFish,42007,Python,6,2.12,2.83,False
fastlane/fastlane,41994,Ruby,568,11.7,48.55,False
LC044/WeChatMsg,41972,N/A,0,3.59,0.0,True
nolimits4web/swiper,41879,TypeScript,103,14.42,7.14,False
psf/black,41806,Python,55,8.42,6.53,False
hexojs/hexo,41770,TypeScript,118,13.89,8.5,False
agno-agi/agno,41731,Python,231,4.28,53.97,False
aria2/aria2,41727,C++,24,15.72,1.53,False
dylanaraps/pure-bash-bible,41717,Shell,0,8.18,0.0,True
freefq/free,41678,N/A,0,6.19,0.0,True
chubin/cheat.sh,41646,Python,0,9.27,0.0,True
dcloudio/uni-app,41598,Objective-C,0,8.1,0.0,True
apache/dubbo,41545,Java,114,14.16,8.05,False
yarnpkg/yarn,41490,JavaScript,153,10.57,14.47,False
tabler/tabler,41455,Astro,51,8.54,5.97,False
chatboxai/chatbox,41452,TypeScript,60,3.45,17.39,False
hpcaitech/ColossalAI,41437,Python,50,4.8,10.42,False
sxyazi/yazi,41388,Rust,32,3.11,10.29,False
exelban/stats,41222,Swift,348,7.21,48.27,False
heygen-com/hyperframes,41186,TypeScript,347,0.44,788.64,False
nwjs/nw.js,41162,JavaScript,0,14.61,0.0,True
styled-components/styled-components,41121,TypeScript,239,10.0,23.9,False
XTLS/Xray-core,41066,Go,119,5.77,20.62,False
luongnv89/claude-howto,41056,Python,10,0.77,12.99,False
vuetifyjs/vuetify,41031,TypeScript,672,9.92,67.74,False
bailicangdu/vue2-elm,41028,Vue,0,9.65,0.0,True
zai-org/ChatGLM-6B,40989,Python,0,3.43,0.0,True
gkd-kit/gkd,40918,Kotlin,75,3.12,24.04,False
goabstract/Awesome-Design-Tools,40897,JavaScript,0,7.51,0.0,True
QSCTech/zju-icicles,40833,HTML,0,10.13,0.0,True
Hmbown/CodeWhale,40818,Rust,131,0.57,229.82,False
facebookresearch/faiss,40748,C++,28,9.52,2.94,False
vim/vim,40739,Vim Script,0,10.99,0.0,True
vercel-labs/agent-browser,40711,Rust,102,0.59,172.88,False
appsmithorg/appsmith,40679,TypeScript,308,6.13,50.24,False
remoteintech/remote-jobs,40661,JavaScript,0,10.84,0.0,True
ashishps1/awesome-system-design-resources,40645,Java,0,2.81,0.0,True
bradtraversy/50projects50days,40617,CSS,0,5.75,0.0,True
PatrickJS/awesome-cursorrules,40597,JavaScript,0,1.91,0.0,True
chakra-ui/chakra-ui,40578,TypeScript,3602,7.0,514.57,False
GyulyVGC/sniffnet,40563,Rust,18,4.04,4.46,False
amruthpillai/reactive-resume,40543,TypeScript,135,6.39,21.13,False
trpc/trpc,40524,TypeScript,239,6.08,39.31,False
pingcap/tidb,40435,Go,215,10.94,19.65,False
chatanywhere/GPT_API_free,40408,N/A,0,3.32,0.0,True
wg/wrk,40387,C,0,14.41,0.0,True
php/php-src,40293,C,60,15.17,3.96,False
nushell/nushell,40272,Rust,124,7.27,17.06,False
duckdb/duckdb,40262,C++,63,8.14,7.74,False
CorentinTh/it-tools,40239,Vue,10,6.36,1.57,False
LizardByte/Sunshine,40222,C++,46,4.67,9.85,False
ManimCommunity/manim,40206,Python,34,6.24,5.45,False
outline/outline,40184,TypeScript,166,10.23,16.23,False
phaserjs/phaser,40158,JavaScript,178,13.34,13.34,False
microsoft/BitNet,40091,C++,0,2.03,0.0,True
photoprism/photoprism,40075,Go,83,8.55,9.71,False
gofiber/fiber,40071,Go,142,6.58,21.58,False
google-research/bert,40051,Python,0,7.81,0.0,True
evanw/esbuild,40012,Go,315,10.17,30.97,False
Kong/insomnia,39949,TypeScript,561,10.31,54.41,False
go-gorm/gorm,39908,Go,12,12.81,0.94,False
koalaman/shellcheck,39882,Haskell,30,13.74,2.18,False
siddharthvaddem/openscreen,39877,TypeScript,13,0.85,15.29,False
videojs/video.js,39860,JavaScript,336,16.25,20.68,False
ToolJet/ToolJet,39836,JavaScript,593,5.38,110.22,False
llvm/llvm-project,39817,LLVM,159,9.69,16.41,False
schollz/croc,39817,Go,204,8.83,23.1,False
langchain-ai/langgraph,39798,Python,559,3.02,185.1,False
2noise/ChatTTS,39770,Python,7,2.22,3.15,False
vadimdemedes/ink,39666,TypeScript,81,9.18,8.82,False
novuhq/novu,39589,TypeScript,144,4.97,28.97,False
mindsdb/mindshub,39587,Makefile,339,8.04,42.16,False
floodsung/Deep-Learning-Papers-Reading-Roadmap,39546,Python,0,9.84,0.0,True
lm-sys/FastChat,39513,Python,14,3.41,4.11,False
google/styleguide,39507,HTML,0,11.24,0.0,True
qbittorrent/qBittorrent,39501,C++,4,14.53,0.28,False
halo-dev/halo,39487,Java,269,8.41,31.99,False
QuivrHQ/quivr,39401,Python,354,3.26,108.59,False
pola-rs/polars,39364,Rust,272,6.26,43.45,False
TeamNewPipe/NewPipe,39356,Java,147,10.95,13.42,False
google/leveldb,39326,C++,21,11.97,1.75,False
freeCodeCamp/devdocs,39294,Ruby,0,12.81,0.0,True
AstrBotDevs/AstrBot,39251,Python,250,3.69,67.75,False
suno-ai/bark,39239,Jupyter Notebook,0,3.36,0.0,True
ShareX/ShareX,39160,C#,90,12.85,7.0,False
drawdb-io/drawdb,39106,JavaScript,0,3.08,0.0,True
DeusData/codebase-memory-mcp,39098,C,43,0.47,91.49,False
google/googletest,38932,C++,12,11.05,1.09,False
HKUDS/LightRAG,38899,Python,80,1.87,42.78,False
wshobson/agents,38852,Python,0,1.06,0.0,True
mattermost/mattermost,38820,TypeScript,1015,11.17,90.87,False
preactjs/preact,38819,JavaScript,251,10.93,22.96,False
Dogfalo/materialize,38818,JavaScript,41,11.92,3.44,False
rapid7/metasploit-framework,38816,Ruby,0,14.96,0.0,True
RSSNext/Folo,38814,TypeScript,252,2.35,107.23,False
deepseek-ai/awesome-deepseek-integration,38783,N/A,0,2.6,0.0,True
datalab-to/marker,38781,Python,72,2.79,25.81,False
spacedriveapp/spacedrive,38777,Rust,28,4.88,5.74,False
aseprite/aseprite,38772,C++,130,11.99,10.84,False
YunaiV/ruoyi-vue-pro,38746,Java,66,5.56,11.87,False
lapce/lapce,38743,Rust,35,8.52,4.11,False
DioxusLabs/dioxus,38736,Rust,42,5.58,7.53,False
ajeetdsouza/zoxide,38675,Rust,38,6.45,5.89,False
ant-design/ant-design-pro,38673,TypeScript,33,8.97,3.68,False
gto76/python-cheatsheet,38636,Python,1,8.56,0.12,False
naptha/tesseract.js,38630,JavaScript,57,11.15,5.11,False
bytedance/UI-TARS-desktop,38605,TypeScript,38,1.57,24.2,False
Yeachan-Heo/oh-my-claudecode,38591,TypeScript,244,0.6,406.67,False
google-research/google-research,38545,Jupyter Notebook,0,7.86,0.0,True
chatchat-space/Langchain-Chatchat,38543,Python,31,3.38,9.17,False
kilimchoi/engineering-blogs,38510,Ruby,0,11.17,0.0,True
huiyadanli/RevokeMsgPatcher,38478,C#,21,7.07,2.97,False
httpie/cli,38423,Python,47,14.47,3.25,False
google/langextract,38403,Python,18,1.1,16.36,False
dotnet/aspnetcore,38374,C#,296,12.43,23.81,False
istio/istio,38353,Go,447,9.74,45.89,False
portainer/portainer,38254,TypeScript,189,10.24,18.46,False
umami-software/umami,38208,TypeScript,109,6.08,17.93,False
sqlmapproject/sqlmap,38201,Python,11,14.14,0.78,False
PhilJay/MPAndroidChart,38196,Java,44,12.31,3.57,False
impress/impress.js,38173,JavaScript,15,14.63,1.03,False
frappe/erpnext,38165,Python,1784,15.19,117.45,False
huihut/interview,38123,C++,0,8.51,0.0,True
docker/compose,38078,Go,283,12.68,22.32,False
ueberdosis/tiptap,38034,TypeScript,984,7.99,123.15,False
xyflow/xyflow,38028,TypeScript,384,7.09,54.16,False
harness/harness,37962,Go,59,12.52,4.71,False
github/awesome-copilot,37902,Python,0,1.18,0.0,True
hyprwm/Hyprland,37901,C++,117,4.42,26.47,False
bojieli/ai-agent-book,37814,Python,1,0.93,1.08,False
vlang/v,37795,V,304,7.52,40.43,False
FreeCodeCampChina/freecodecamp.cn,37776,CSS,0,9.88,0.0,True
servo/servo,37709,Rust,13,14.52,0.9,False
PostHog/posthog,37709,Python,891,6.56,135.82,False
anthropics/prompt-eng-interactive-tutorial,37682,Jupyter Notebook,0,2.37,0.0,True
denysdovhan/wtfjs,37679,JavaScript,25,9.09,2.75,False
TencentARC/GFPGAN,37656,Python,8,5.41,1.48,False
NervJS/taro,37639,TypeScript,211,8.36,25.24,False
fengdu78/Coursera-ML-AndrewNg-Notes,37570,HTML,0,8.78,0.0,True
karpathy/LLM101n,37509,N/A,0,2.22,0.0,True
alibaba/arthas,37487,Java,78,7.96,9.8,False
alebcay/awesome-shell,37450,N/A,0,12.11,0.0,True
TriliumNext/Trilium,37448,TypeScript,353,9.23,38.24,False
aquasecurity/trivy,37431,Go,92,7.35,12.52,False
directus/directus,37423,TypeScript,371,13.68,27.12,False
PKUanonym/REKCARC-TSC-UHT,37419,HTML,0,7.36,0.0,True
LAION-AI/Open-Assistant,37408,Python,127,3.67,34.6,False
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,37385,Python,8,3.39,2.36,False
shiyu-coder/Kronos,37363,Python,0,1.13,0.0,True
exacity/deeplearningbook-chinese,37358,TeX,7,9.69,0.72,False
eugenp/tutorials,37324,Java,0,13.3,0.0,True
pbatard/rufus,37316,C,90,14.74,6.11,False
stanfordnlp/dspy,37294,Python,110,3.6,30.56,False
openai/gym,37239,Python,19,10.3,1.84,False
0voice/interview_internal_reference,37234,Python,0,7.18,0.0,True
Wei-Shaw/sub2api,37209,Go,37,0.66,56.06,False
myshell-ai/OpenVoice,37146,Python,0,2.71,0.0,True
IceWhaleTech/CasaOS,37075,Go,97,4.89,19.84,False
huggingface/pytorch-image-models,37068,Python,78,7.53,10.36,False
satwikkansal/wtfpython,37056,Python,2,8.96,0.22,False
markedjs/marked,37050,JavaScript,178,15.06,11.82,False
SagerNet/sing-box,37039,Go,582,4.13,140.92,False
patchy631/ai-engineering-hub,37007,Jupyter Notebook,0,1.82,0.0,True
fastify/fastify,36997,JavaScript,321,9.88,32.49,False
AobingJava/JavaFamily,36972,N/A,0,6.76,0.0,True
Textualize/textual,36949,Python,223,5.36,41.6,False
mouredev/Hello-Python,36941,Python,0,4.03,0.0,True
babysor/MockingBird,36909,Python,1,5.02,0.2,False
lfnovo/open-notebook,36908,TypeScript,42,1.82,23.08,False
soxoj/maigret,36806,Python,29,6.14,4.72,False
CopilotKit/CopilotKit,36788,TypeScript,1433,3.16,453.48,False
shadowsocks/shadowsocks-android,36753,Kotlin,186,13.66,13.62,False
musistudio/claude-code-router,36684,TypeScript,22,1.47,14.97,False
veggiemonk/awesome-docker,36646,N/A,1,11.9,0.08,False
Dokploy/dokploy,36644,TypeScript,168,2.32,72.41,False
typeorm/typeorm,36631,TypeScript,45,10.46,4.3,False
google-ai-edge/mediapipe,36628,C++,67,7.17,9.34,False
date-fns/date-fns,36626,TypeScript,127,11.86,10.71,False
microsoft/Data-Science-For-Beginners,36626,Jupyter Notebook,0,5.45,0.0,True
jaywcjlove/linux-command,36584,Markdown,32,9.76,3.28,False
ashishpatel26/500-AI-Agents-Projects,36565,Python,0,1.65,0.0,True
mpv-player/mpv,36557,C,89,13.84,6.43,False
1Panel-dev/1Panel,36548,Go,125,4.08,30.64,False
ZuodaoTech/everyone-can-use-english,36543,TypeScript,48,7.42,6.47,False
inkonchain/docs,36525,MDX,0,2.27,0.0,True
khoj-ai/khoj,36516,Python,173,5.0,34.6,False
xinntao/Real-ESRGAN,36489,Python,10,5.08,1.97,False
inkonchain/node,36478,Shell,6,2.26,2.65,False
hankcs/HanLP,36476,Python,62,11.85,5.23,False
doocs/leetcode,36462,Java,21,7.92,2.65,False
nextcloud/server,36443,PHP,461,10.2,45.2,False
open-guides/og-aws,36438,Shell,0,10.09,0.0,True
songquanpeng/one-api,36402,JavaScript,55,3.32,16.57,False
glanceapp/glance,36400,Go,34,2.3,14.78,False
inkonchain/ink-kit,36386,TypeScript,0,1.78,0.0,True
GorvGoyl/Clone-Wars,36360,N/A,0,5.7,0.0,True
formulahendry/955.WLB,36356,N/A,0,7.39,0.0,True
SheetJS/sheetjs,36321,N/A,0,13.7,0.0,True
tinyhumansai/openhuman,36314,Rust,56,0.49,114.29,False
reworkd/AgentGPT,36309,TypeScript,12,3.36,3.57,False
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36302,N/A,0,5.62,0.0,True
keycloak/keycloak,36205,Java,111,13.12,8.46,False
ItzCrazyKns/Vane,36188,TypeScript,34,2.35,14.47,False
PDFMathTranslate/PDFMathTranslate,36184,Python,24,1.94,12.37,False
microsoft/playwright-mcp,36180,TypeScript,69,1.4,49.29,False
jax-ml/jax,36164,Python,139,7.81,17.8,False
AdguardTeam/AdGuardHome,36152,TypeScript,243,10.11,24.04,False
hashicorp/vault,36122,Go,182,11.47,15.87,False
pnpm/pnpm,36109,Rust,1152,10.55,109.19,False
firecracker-microvm/firecracker,36095,Rust,90,8.82,10.2,False
carbon-app/carbon,36090,JavaScript,215,9.17,23.45,False
geekxh/hello-algorithm,36086,Java,0,6.21,0.0,True
lerna/lerna,36053,TypeScript,252,10.7,23.55,False
slatedocs/slate,36045,N/A,28,12.92,2.17,False
zsh-users/zsh-autosuggestions,35976,Shell,0,12.8,0.0,True
blader/humanizer,35926,Python,2,0.57,3.51,False
HKUDS/DeepTutor,35916,Python,66,0.63,104.76,False
chatwoot/chatwoot,35903,Ruby,148,7.01,21.11,False
filebrowser/filebrowser,35869,Go,157,10.93,14.36,False
medusajs/medusa,35853,TypeScript,163,6.58,24.77,False
solidjs/solid,35843,TypeScript,37,8.31,4.45,False
wailsapp/wails,35842,Go,355,7.67,46.28,False
Crosstalk-Solutions/project-nomad,35840,TypeScript,76,1.14,66.67,False
XingangPan/DragGAN,35766,Python,0,3.25,0.0,True
junegunn/vim-plug,35746,Vim Script,8,12.93,0.62,False
OpenBMB/VoxCPM,35732,Python,14,0.91,15.38,False
alan2207/bulletproof-react,35703,TypeScript,0,5.21,0.0,True
airbnb/lottie-android,35700,Java,63,9.86,6.39,False
jondot/awesome-react-native,35692,JavaScript,0,11.39,0.0,True
koajs/koa,35687,JavaScript,18,13.07,1.38,False
opentofu/manifesto,35685,HTML,0,3.01,0.0,True
gchq/CyberChef,35589,JavaScript,457,9.71,47.06,False
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35558,JavaScript,0,11.38,0.0,True
searxng/searxng,35551,Python,0,5.34,0.0,True
restic/restic,35545,Go,51,12.3,4.15,False
refinedev/refine,35525,TypeScript,1687,5.57,302.87,False
microsoft/graphrag,35521,Python,41,2.38,17.23,False
continuedev/continue,35501,TypeScript,827,3.23,256.04,False
drizzle-team/drizzle-orm,35494,TypeScript,182,5.14,35.41,False
Yuan1z0825/nature-skills,35462,Python,0,0.31,0.0,True
jqlang/jq,35458,C,16,14.08,1.14,False
permissionlesstech/bitchat,35423,Swift,20,1.12,17.86,False
alvarotrigo/fullPage.js,35410,JavaScript,109,12.9,8.45,False
kuchin/awesome-cto,35329,N/A,0,9.66,0.0,True
casey/just,35313,Rust,146,10.16,14.37,False
nativefier/nativefier,35286,TypeScript,99,11.12,8.9,False
typicode/husky,35274,JavaScript,80,12.15,6.58,False
geekcomputers/Python,35260,Python,0,14.71,0.0,True
sahat/hackathon-starter,35247,JavaScript,18,12.75,1.41,False
tailscale/tailscale,35242,Go,159,6.54,24.31,False
VectifyAI/PageIndex,35206,Python,5,1.37,3.65,False
blakeblackshear/frigate,35131,TypeScript,81,7.55,10.73,False
fxsjy/jieba,35118,Python,9,13.88,0.65,False
