repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
preactjs/preact,38819,2015-09-11T02:40:18Z,10.93,2084,251,2026-08-13T16:02:57Z,2026-08-16T08:00:50Z,3.01,0.34,JavaScript,1941,1922,0.9902
Dogfalo/materialize,38818,2014-09-12T19:35:38Z,11.92,449,41,2026-07-31T14:51:54Z,2026-08-16T15:26:35Z,16.06,0.04,JavaScript,5221,4598,0.8807
rapid7/metasploit-framework,38816,2011-08-30T06:13:20Z,14.96,12049,0,2026-08-13T17:54:27Z,2026-08-16T15:43:41Z,2.93,0.02,Ruby,6585,6086,0.9242
RSSNext/Folo,38814,2024-04-08T03:23:35Z,2.35,1517,252,2026-08-15T06:52:13Z,2026-08-16T16:11:57Z,1.39,0.0,TypeScript,2638,2260,0.8567
deepseek-ai/awesome-deepseek-integration,38783,2024-01-11T02:43:17Z,2.6,288,0,2026-02-23T16:27:47Z,2026-08-16T15:58:31Z,173.99,0.01,N/A,199,163,0.8191
datalab-to/marker,38781,2023-10-30T20:14:08Z,2.79,233,72,2026-08-07T06:33:06Z,2026-08-16T14:38:14Z,9.41,0.07,Python,688,324,0.4709
spacedriveapp/spacedrive,38777,2021-09-27T05:09:04Z,4.88,1968,28,2026-07-29T00:31:28Z,2026-08-16T14:35:07Z,18.66,0.07,Rust,545,522,0.9578
aseprite/aseprite,38772,2014-08-19T23:44:50Z,11.99,548,130,2026-08-14T18:53:53Z,2026-08-16T16:06:09Z,1.89,0.01,C++,4650,2721,0.5852
YunaiV/ruoyi-vue-pro,38746,2021-01-24T03:18:25Z,5.56,78,66,2026-08-14T16:49:53Z,2026-08-16T15:43:59Z,1.98,0.02,Java,800,793,0.9912
lapce/lapce,38743,2018-02-06T08:41:06Z,8.52,1184,35,2026-07-15T11:27:37Z,2026-08-16T10:22:37Z,32.2,0.25,Rust,2034,1210,0.5949
DioxusLabs/dioxus,38736,2021-01-15T01:57:26Z,5.58,2081,42,2026-08-14T03:17:38Z,2026-08-16T16:14:51Z,2.54,0.0,Rust,2616,1978,0.7561
ajeetdsouza/zoxide,38675,2020-03-05T13:11:40Z,6.45,262,38,2026-08-10T18:53:37Z,2026-08-16T15:44:48Z,5.89,0.02,Rust,749,650,0.8678
ant-design/ant-design-pro,38673,2017-08-25T10:40:44Z,8.97,1176,33,2026-08-13T17:26:07Z,2026-08-16T13:48:35Z,2.95,0.1,TypeScript,9842,9799,0.9956
gto76/python-cheatsheet,38636,2018-01-25T04:16:53Z,8.56,0,1,2026-07-29T14:56:37Z,2026-08-16T15:47:17Z,18.06,0.02,Python,27,27,1.0
naptha/tesseract.js,38630,2015-06-24T02:49:52Z,11.15,205,57,2026-05-17T04:19:12Z,2026-08-16T16:03:46Z,91.5,0.01,JavaScript,738,707,0.958
bytedance/UI-TARS-desktop,38605,2025-01-19T09:04:43Z,1.57,1074,38,2026-08-05T02:48:59Z,2026-08-16T15:21:49Z,11.56,0.04,TypeScript,538,218,0.4052
Yeachan-Heo/oh-my-claudecode,38591,2026-01-09T03:36:29Z,0.6,1667,244,2026-08-16T02:01:17Z,2026-08-16T16:06:16Z,0.59,0.01,TypeScript,1381,1379,0.9986
google-research/google-research,38545,2018-10-04T18:42:48Z,7.86,34,0,2026-08-14T22:49:14Z,2026-08-16T14:00:42Z,1.73,0.09,Jupyter Notebook,1464,352,0.2404
chatchat-space/Langchain-Chatchat,38543,2023-03-31T12:12:45Z,3.38,621,31,2025-11-10T09:27:42Z,2026-08-16T14:12:33Z,279.28,0.09,Python,4249,4243,0.9986
kilimchoi/engineering-blogs,38510,2015-06-13T18:25:17Z,11.17,681,0,2024-08-21T13:01:11Z,2026-08-16T15:06:08Z,725.14,0.05,Ruby,98,77,0.7857
