snapshot_date,sprint,issue,titulo,status,assignee,state,url
2026-08-27,S03,8,RQ 07,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/8
2026-08-27,S03,9,(Extra) RQ03: releases por ano e recorte dos repositórios sem release,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/9
2026-08-27,S03,10,Criar script GraphQL para Snapshot do Kanban (Fechamento de Sprints),Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/10
2026-08-27,S03,11,Unificar consultas GraphQL em um script único (Amostra 100 repositórios),Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/11
2026-08-27,S03,12,RQ Extra,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/12
2026-08-27,S03,13,Paginação: coleta dos 1000 repositórios mais estrelados,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/13
2026-08-27,S03,14,Validar consistência de RQ01/RQ02 nos 1000 e escrever hipótese informal,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/14
2026-08-27,S03,15,Validar consistência de RQ03/RQ04 nos 1000 e escrever hipótese informal,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/15
2026-08-27,S03,16,Validar consistência de RQ05/RQ06 nos 1000 e escrever hipótese informal,Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/16
2026-08-27,S03,17,Primeira versão do relatório com hipóteses informais,Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/17
2026-08-27,S03,18,Atualizar board e exportar snapshot de fechamento da S02,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/18
2026-08-27,S03,19,Corrigir linhas de coletas paralelas,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/19
2026-08-27,S03,20,Corrigir lógica de paginação e retry,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/20
2026-08-27,S03,23,[Bônus GQM] Analisar a correlação entre engajamento de código e resolução de problemas,Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/23
2026-08-27,S03,24,Infraestrutura de gráficos: módulo comum e pasta de figuras,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/24
2026-08-27,S03,25,RQ01: visualização e resultado da idade dos repositórios,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/25
2026-08-27,S03,26,RQ02: visualização e resultado das pull requests aceitas,Done,mateusdsoc,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/26
2026-08-27,S03,27,RQ03: visualização e resultado da frequência de releases,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/27
2026-08-27,S03,28,RQ04: visualização e resultado do tempo até a última atualização,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/28
2026-08-27,S03,29,RQ05: visualização e resultado das linguagens primárias,Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/29
2026-08-27,S03,30,RQ06: visualização e resultado do percentual de issues fechadas,Done,Athoosz,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/30
2026-08-27,S03,37,RQ07: visualização e resultado das RQ02/RQ03/RQ04 por linguagem,Done,RafaelMouraG,CLOSED,https://github.com/RafaelMouraG/Laboratorio-de-Experimentacao-de-Software/issues/37
